Metro.Status.Code,Number.of.Schools,Agency.ID,Federal.Revenue,Related.Children.in.Poverty,Total.Enrollment
3,7,30,1366000,580,2659
3,4,40,1115000,446,1760
2,15,50,4076000,1485,10776
3,16,60,3227000,1035,9006
2,8,821,1717000,487,3650
3,15,70,4285000,1881,6461
3,7,80,781000,351,2087
3,11,130,3438000,1411,4500
3,4,140,880000,324,1248
3,9,61,1982000,1092,4409
3,11,150,3338000,1210,4912
3,9,180,3329000,1448,6972
3,1,721,373000,247,770
3,5,200,1084000,333,1851
3,4,210,1320000,576,2685
2,11,220,2775000,1266,7956
3,4,231,1289000,847,3391
2,8,240,3834000,1045,4408
3,2,521,433000,278,1104
2,6,290,1745000,788,3245
3,16,300,3176000,1372,6965
3,7,301,1484000,424,2700
3,7,310,1940000,806,2552
2,80,330,14804000,7939,42701
3,9,350,2875000,1140,4706
2,16,370,3282000,1469,7132
3,6,380,3206000,1004,3837
3,8,390,1461000,499,3818
3,6,400,2199000,608,3327
3,4,420,638000,256,1402
3,5,271,1240000,380,1877
3,6,430,1528000,493,3057
3,4,440,894000,313,1620
2,10,450,2688000,1196,6872
2,10,901,2834000,1298,6870
2,10,822,2325000,1527,6416
2,85,470,21486000,8531,51152
3,13,500,2893000,1221,7058
2,3,531,1027000,319,2004
